,STATION,TIME,ENTRIES,EXITS,ENTRIES_COUNT,EXITS_COUNT,FTRAFFIC
43,104 ST,Fri Mor,483032041.1383648,369228960.3647799,150.1069182389937,15.70440251572327,165.81132075471697
44,104 ST,Mon Aft,501801994.9691358,378091571.11728394,55.46913580246913,48.876543209876544,104.34567901234568
45,104 ST,Mon Mor,504891811.2173913,380411008.63975155,125.24844720496894,13.906832298136646,139.1552795031056
46,104 ST,Sat Aft,501801590.33950615,378091431.462963,44.69753086419753,27.098765432098766,71.79629629629629
47,104 ST,Sat Mor,501801515.99382716,378091402.9506173,58.25925925925926,9.679012345679013,67.93827160493827
48,104 ST,Sun Aft,501801721.4691358,378091489.69753087,36.574074074074076,21.030864197530864,57.60493827160494
49,104 ST,Sun Mor,501801661.9876543,378091468.1296296,37.864197530864196,7.351851851851852,45.21604938271605
50,104 ST,Thu Aft,486869055.73376626,364757620.5649351,58.97402597402598,57.98701298701299,116.96103896103897
51,104 ST,Thu Mor,486868946.6753247,364757564.4350649,160.61688311688312,15.590909090909092,176.2077922077922
52,104 ST,Tue Aft,501802338.2222222,378091687.3580247,60.870370370370374,61.382716049382715,122.25308641975309
53,104 ST,Tue Mor,501802222.86419755,378091629.38271606,163.24074074074073,16.709876543209877,179.9506172839506
54,104 ST,Wed Aft,501802679.4074074,378091812.2962963,61.54938271604938,60.26543209876543,121.81481481481481
55,104 ST,Wed Mor,501802563.8333333,378091756.037037,162.53086419753086,16.098765432098766,178.62962962962962
56,110 ST,Fri Aft,5163606.416666667,5086301.194444444,490.5833333333333,415.8333333333333,906.4166666666666
57,110 ST,Fri Mor,5104213.552631579,5215480.166666667,443.2280701754386,225.7719298245614,669.0
58,110 ST,Mon Aft,5155309.25,5079949.814814814,383.72222222222223,339.4537037037037,723.175925925926
59,110 ST,Mon Mor,5154490.953703703,5079365.740740741,364.4259259259259,177.37037037037038,541.7962962962963
60,110 ST,Sat Aft,5147856.216216216,4984593.144144144,393.92792792792795,280.9189189189189,674.8468468468468
61,110 ST,Sat Mor,5151876.712962963,5077317.777777778,215.89814814814815,125.62037037037037,341.51851851851853
62,110 ST,Sun Aft,5153760.685185186,5078773.990740741,249.28703703703704,217.82407407407408,467.1111111111111
63,110 ST,Sun Mor,5153250.064814814,5078398.731481481,157.59259259259258,86.73148148148148,244.32407407407408
64,110 ST,Thu Aft,5161505.953703703,5084663.685185186,471.9074074074074,409.8888888888889,881.7962962962963
65,110 ST,Thu Mor,5160491.194444444,5083953.101851852,474.3333333333333,229.47222222222223,703.8055555555555
66,110 ST,Tue Aft,5126886.243243244,5147371.558558558,458.05405405405406,400.13513513513516,858.1891891891892
67,110 ST,Tue Mor,5097577.754385965,5209832.438596491,456.94736842105266,224.5,681.4473684210526
68,110 ST,Wed Aft,5159442.574074074,5083068.962962963,479.81481481481484,402.64814814814815,882.4629629629629
69,110 ST,Wed Mor,5072056.299145299,5270372.35042735,453.7435897435897,222.25641025641025,676.0
70,111 ST,Fri Aft,8465085.517361112,4340786.777777778,166.86111111111111,148.92013888888889,315.78125
71,111 ST,Fri Mor,7869317.266666667,4454835.302222222,427.0933333333333,56.48,483.5733333333333
72,111 ST,Mon Aft,9043764.114583334,4571798.739583333,149.59722222222223,137.02430555555554,286.62152777777777
73,111 ST,Mon Mor,8164397.930131004,4584926.672489083,344.0480349344978,49.82096069868996,393.86899563318775
74,111 ST,Sat Aft,9042271.083333334,4570987.690972222,139.82291666666666,105.22916666666667,245.05208333333334
75,111 ST,Sat Mor,8235614.511111111,4600408.777777778,214.5511111111111,44.81777777777778,259.3688888888889
76,111 ST,Sun Aft,9042865.854166666,4571378.9375,122.61458333333333,81.76041666666667,204.375
77,111 ST,Sun Mor,8236388.591111111,4600934.995555555,142.76444444444445,37.47555555555556,180.24
78,111 ST,Thu Aft,8464012.274305556,4340207.541666667,163.90625,151.56597222222223,315.47222222222223
79,111 ST,Thu Mor,7834478.410714285,4428562.348214285,427.1517857142857,56.004464285714285,483.15625
80,111 ST,Tue Aft,8491334.111498257,4354152.362369338,161.31358885017423,161.94076655052265,323.25435540069685
81,111 ST,Tue Mor,8043693.722943723,4502553.887445888,431.8051948051948,56.54545454545455,488.35064935064935
82,111 ST,Wed Aft,8462940.934027778,4339627.996527778,165.01736111111111,160.85416666666666,325.87152777777777
83,111 ST,Wed Mor,7649178.0875,4420091.770833333,414.05833333333334,53.6125,467.67083333333335
84,116 ST,Fri Aft,77926833.96969697,94216239.22979797,391.8661616161616,192.59848484848484,584.4646464646464
85,116 ST,Fri Mor,77926263.8989899,94216013.65656565,409.85353535353534,147.36868686868686,557.2222222222222
86,116 ST,Mon Aft,77937718.86616161,94217456.27525252,313.6818181818182,148.05555555555554,461.73737373737373
87,116 ST,Mon Mor,78316788.12690355,94693344.78172588,314.39086294416245,113.53299492385787,427.9238578680203
88,116 ST,Sat Aft,77935561.22727273,94216481.25252526,285.7020202020202,158.66161616161617,444.3636363636364
89,116 ST,Sat Mor,77935154.20707071,94216279.07575758,110.06565656565657,47.14646464646464,157.21212121212122
90,116 ST,Sun Aft,91622312.78186275,111182271.28186275,230.8921568627451,108.75735294117646,339.64950980392155
91,116 ST,Sun Mor,77936201.35353535,94216815.07575758,74.83838383838383,37.51010101010101,112.34848484848484
92,116 ST,Thu Aft,78113402.56962025,94452448.58734177,381.2354430379747,183.89620253164557,565.1316455696202
